127.0.0.1 - - [01/Nov/2022:14:01:40 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:02:16 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:02:16 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:27:09 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:27:09 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:27:09 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:31:10 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:31:10 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:31:12 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:38:54 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:38:54 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:38:54 +0530] "GET /JAVA_jsp/... HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:38:54 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:51:02 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 200 1729
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:52:03 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:52:58 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [01/Nov/2022:14:52:58 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
